AuthorCourse,AuthorID,Cluster,PercMGS,Subject,SubjectNew,ClassSize,CourseLevel,TrtType,TrtIntensity,Treatment,MGSgroup,MGS,Pass,DFW,TotStuTypePerSection,PercPass
6a,6,2008,0.131736527,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,URM,1,12,10,22,0.545454545
6a,6,2009,0.149606299,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,NonURM,0,62,46,108,0.574074074
6a,6,2009,0.149606299,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,URM,1,5,14,19,0.263157895
6b,6,2010,0.105113636,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,NonURM,0,237,78,315,0.752380952
6b,6,2010,0.105113636,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,URM,1,18,19,37,0.486486486
6b,6,2011,0.088477366,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,NonURM,0,348,95,443,0.785553047
6b,6,2011,0.088477366,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,URM,1,25,18,43,0.581395349
7,7,50,0.042839657,Engineering,Engineering,Small,Intro,Flipped,High,Active,NonURM,0,740,42,782,0.94629156
7,7,50,0.042839657,Engineering,Engineering,Small,Intro,Flipped,High,Active,URM,1,31,4,35,0.885714286
7,7,51,0.050890585,Engineering,Engineering,Small,Intro,Passive,Passive,Passive,NonURM,0,662,84,746,0.887399464
7,7,51,0.050890585,Engineering,Engineering,Small,Intro,Passive,Passive,Passive,URM,1,34,6,40,0.85
8,8,160,0.383292383,Mathematics,Mathematics,Small,Intro,CollaborativeGroups,High,Active,LowSES,1,109,47,156,0.698717949
8,8,160,0.383292383,Mathematics,Mathematics,Small,Intro,CollaborativeGroups,High,Active,NonLowSES,0,187,64,251,0.74501992
8,8,161,0.397769517,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,LowSES,1,184,137,321,0.573208723
8,8,161,0.397769517,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,NonLowSES,0,304,182,486,0.625514403
9,9,60,0.282352941,Biology,Biology,Large,Intro,Flipped,High,Active,NonURM,0,101,21,122,0.827868852
