AuthorCourse,AuthorID,Cluster,Subject,ClassSize,TrtType,Treatment,CourseLevel,TrtIntensity,stdExam,PercMGS,MGSgroup,MGS
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.699594888,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.65205556,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.65205556,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.65205556,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.65205556,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.556976903,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.556976903,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.556976903,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.556976903,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.509437575,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.461898247,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.461898247,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.414358919,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.366819591,0.041666667,URM,1
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.366819591,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.366819591,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.319280262,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.271740934,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.271740934,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.271740934,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.176662278,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.176662278,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.176662278,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.081583621,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.081583621,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.081583621,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.081583621,0.041666667,nonURM,0
